episode,timestep,reward
87,800,-0.386
179,1600,-0.6591
271,2400,-0.6797
382,3200,-0.6092
478,4000,-0.4229
578,4800,-0.5859
681,5600,-0.54
783,6400,-0.5746
874,7200,-0.5449
977,8000,-0.5009
1057,8800,-0.3821
1155,9600,-0.4754
1234,10400,-0.6021
1324,11200,-0.4063
1412,12000,-0.5067
1501,12800,-0.6693
1604,13600,-0.5593
1690,14400,-0.6115
1782,15200,-0.3327
1868,16000,-0.4946
1963,16800,-0.396
2044,17600,-0.5621
2124,18400,-0.5322
2207,19200,-0.3322
2303,20000,-0.4851
2399,20800,-0.402
2481,21600,-0.3727
2556,22400,-0.3141
2641,23200,-0.2538
2726,24000,-0.3478
2814,24800,-0.325
2892,25600,-0.3403
2966,26400,-0.3588
3043,27200,-0.2537
3124,28000,-0.2909
3191,28800,-0.2023
3277,29600,-0.1692
3348,30400,-0.4164
3423,31200,-0.2872
3497,32000,-0.1968
3578,32800,-0.2411
3644,33600,-0.2204
3713,34400,-0.138
3787,35200,-0.1697
3870,36000,-0.3562
3935,36800,-0.301
4010,37600,-0.1535
4079,38400,-0.1961
4146,39200,-0.1427
4225,40000,-0.1714
4290,40800,-0.1774
4360,41600,-0.3224
4435,42400,-0.2073
4505,43200,-0.2077
4578,44000,-0.0756
4660,44800,-0.2267
4725,45600,-0.2704
4778,46400,0.0855
4842,47200,-0.0077
4918,48000,-0.1652
4985,48800,0.0367
5059,49600,-0.2505
5125,50400,-0.1904
5190,51200,0.0383
5254,52000,-0.0397
5322,52800,0.0218
5386,53600,-0.1019
5454,54400,-0.1551
5530,55200,-0.2443
5593,56000,-0.1825
5666,56800,-0.0212
5732,57600,0.1132
5807,58400,-0.1007
5877,59200,-0.0648
5943,60000,-0.1898
6023,60800,-0.1575
6092,61600,-0.1088
6158,62400,-0.1595
6231,63200,-0.1309
6285,64000,-0.0469
6347,64800,-0.0404
6419,65600,-0.1743
6485,66400,-0.008
6566,67200,-0.1673
6636,68000,-0.0655
6709,68800,-0.1849
6770,69600,-0.1889
6844,70400,-0.2509
6901,71200,-0.0616
6971,72000,-0.3504
7041,72800,-0.0076
7116,73600,-0.2873
7182,74400,-0.1598
7249,75200,-0.0231
7311,76000,-0.1048
7378,76800,-0.232
7433,77600,0.1176
7495,78400,0.0884
7565,79200,-0.179
7633,80000,-0.1548
7694,80800,0.1391
7759,81600,-0.1774
7827,82400,-0.096
7888,83200,-0.058
7958,84000,-0.0933
8023,84800,-0.0236
8089,85600,0.0527
8154,86400,-0.116
8224,87200,-0.151
8282,88000,-0.1807
8358,88800,-0.2443
8421,89600,0.0077
8482,90400,-0.0252
8548,91200,-0.22
8608,92000,0.0913
8681,92800,0.0336
8740,93600,0.11
8798,94400,-0.078
8855,95200,-0.1316
8918,96000,-0.0878
8979,96800,-0.1892
9038,97600,0.0086
9103,98400,0.0073
9159,99200,-0.1171
9224,100000,-0.0537
